Date,Cases,Cases Moving Average,Cases Cumulative,Rate of Cases,Rate of Daily Cases,Deaths,Deaths Moving Average,Deaths Cumulative,Face_Masks_Required_in_Public_Color,Rate of Infection,Rate of Daily Infection
2020-09-29,615.0,167.0,37067.0,0.004801106374435169,0.02182321079288713,1.0,2.0,1801.0,blue,0.010671410651857048,0.039298907490371765
2020-09-30,159.0,175.0,37226.0,0.000498816246694563,-0.02843252606159009,10.0,3.0,1811.0,blue,0.011183823717375188,0.010161302691786599
2020-10-01,135.0,178.0,37361.0,0.0001870560925104611,-0.0014964487400836888,2.0,3.0,1813.0,blue,0.01137654246422301,0.008628276588034306
2020-10-02,141.0,188.0,37502.0,0.0006235203083682037,0.0003741121850209222,2.0,2.0,1815.0,blue,0.012016772346083043,0.009012579259562283
2020-10-03,0.0,188.0,37502.0,0.0,-0.008791636347991672,0.0,2.0,1815.0,blue,0.012016772346083043,0.0
2020-10-04,0.0,188.0,37502.0,0.0,0.0,0.0,2.0,1815.0,blue,0.012016772346083043,0.0
2020-10-05,305.0,194.0,37807.0,0.0003741121850209222,0.019017369405230213,1.0,2.0,1816.0,blue,0.012402712230225028,0.019499109434116667
2020-10-06,276.0,145.0,38083.0,-0.0030552495110041985,-0.0018082088942677906,1.0,2.0,1817.0,blue,0.009271710349210979,0.017648221078498137
2020-10-07,181.0,148.0,38264.0,0.0001870560925104611,-0.005923442929497935,0.0,1.0,1817.0,blue,0.009464634243046692,0.011574991878320616
2020-10-08,251.0,165.0,38515.0,0.0010599845242259462,0.004364642158577426,0.0,1.0,1817.0,blue,0.010553482169412171,0.016054084997105787
2020-10-09,252.0,181.0,38767.0,0.000997632493389126,6.235203083682038e-05,13.0,2.0,1830.0,blue,0.011578812691914022,0.016120777891504606
2020-10-10,0.0,181.0,38767.0,0.0,-0.015712711770878733,0.0,2.0,1830.0,blue,0.011578812691914022,0.0
2020-10-11,0.0,181.0,38767.0,0.0,0.0,0.0,2.0,1830.0,blue,0.011578812691914022,0.0
2020-10-12,0.0,137.0,38767.0,-0.0027434893568200965,0.0,0.0,2.0,1830.0,blue,0.008764073694984647,0.0
2020-10-13,646.0,190.0,39413.0,0.0033046576343514797,0.040279411920585956,0.0,2.0,1830.0,blue,0.012159579764923325,0.0413425712007393
2020-10-14,278.0,204.0,39691.0,0.0008729284317154852,-0.022945547347949895,3.0,2.0,1833.0,blue,0.01305789705128361,0.017794585197337467
2020-10-15,179.0,194.0,39870.0,-0.0006235203083682037,-0.006172851052845217,5.0,3.0,1838.0,blue,0.012419266763929585,0.011459014179089668
2020-10-16,309.0,202.0,40179.0,0.000498816246694563,0.008105764008786648,2.0,1.0,1840.0,blue,0.01293397653187585,0.019785142318562564
2020-10-17,0.0,202.0,40179.0,0.0,-0.019266777528577493,0.0,1.0,1840.0,blue,0.01293397653187585,0.0
2020-10-18,0.0,202.0,40179.0,0.0,0.0,0.0,1.0,1840.0,blue,0.01293397653187585,0.0
2020-10-19,624.0,291.0,40803.0,0.005549330744477013,0.03890766724217591,1.0,2.0,1841.0,blue,0.01864006923088256,0.03997045773220177
2020-10-20,291.0,240.0,41094.0,-0.003179953572677839,-0.020763226268661183,8.0,3.0,1849.0,blue,0.015376197901917797,0.018643639956075327
2020-10-21,229.0,233.0,41323.0,-0.0004364642158577426,-0.003865825911882863,2.0,3.0,1851.0,blue,0.014929935032355669,0.014673627134804499
2020-10-22,238.0,242.0,41561.0,0.0005611682775313833,0.0005611682775313833,1.0,2.0,1852.0,blue,0.015509002912103687,0.015252655756531727
2020-10-23,411.0,256.0,41972.0,0.0008729284317154852,0.010786901334769923,1.0,2.0,1853.0,blue,0.01641055095860695,0.026346626734326
2020-10-24,0.0,256.0,41972.0,0.0,-0.02562668467393317,0.0,2.0,1853.0,blue,0.01641055095860695,0.0
2020-10-25,0.0,256.0,41972.0,0.0,0.0,0.0,2.0,1853.0,blue,0.01641055095860695,0.0
2020-10-26,1031.0,314.0,43003.0,0.0036164177885355813,0.0642849437927618,6.0,3.0,1859.0,blue,0.020141955886550756,0.0661348933727192
2020-10-27,362.0,324.0,43365.0,0.0006235203083682037,-0.04171350862983283,5.0,2.0,1864.0,blue,0.02078831337484152,0.023226448894113058
2020-10-28,375.0,345.0,43740.0,0.0013093926475732278,0.0008105764008786648,3.0,2.0,1867.0,blue,0.02214107393835155,0.02406638471559951
2020-10-29,399.0,368.0,44139.0,0.0014340967092468684,0.0014964487400836888,1.0,2.0,1868.0,blue,0.02362320980363207,0.025613208455568467
2020-10-30,366.0,362.0,44505.0,-0.0003741121850209222,-0.0020576170176150725,7.0,3.0,1875.0,blue,0.02324361426644245,0.02350044978319872
2020-10-31,0.0,362.0,44505.0,0.0,-0.022820843286276257,0.0,3.0,1875.0,blue,0.02324361426644245,0.0
2020-11-01,0.0,362.0,44505.0,0.0,0.0,0.0,3.0,1875.0,blue,0.02324361426644245,0.0
2020-11-02,946.0,350.0,45451.0,-0.0007482243700418444,0.058985021171632075,3.0,3.0,1878.0,blue,0.022486809879804788,0.06077863470370094
2020-11-03,642.0,390.0,46093.0,0.002494081233472815,-0.018955017374393392,1.0,2.0,1879.0,blue,0.025067086593929262,0.04126428100846818
2020-11-04,396.0,393.0,46489.0,0.0001870560925104611,-0.01533859958585781,4.0,2.0,1883.0,blue,0.025266406287670573,0.025459279618110807
2020-11-05,428.0,397.0,46917.0,0.0002494081233472815,0.001995264986778252,1.0,2.0,1884.0,blue,0.025530612297394978,0.027524186557393075
2020-11-06,758.0,453.0,47675.0,0.003491713726861941,0.02057617017615072,5.0,2.0,1889.0,blue,0.029146209094775364,0.048770036410242225
2020-11-07,0.0,453.0,47675.0,0.0,-0.04726283937430984,0.0,2.0,1889.0,blue,0.029146209094775364,0.0
2020-11-08,0.0,453.0,47675.0,0.0,0.0,0.0,2.0,1889.0,blue,0.029146209094775364,0.0
2020-11-09,1781.0,572.0,49456.0,0.007419891669581624,0.11104896692037708,0.0,2.0,1889.0,blue,0.036844939489272456,0.11472174340978014
2020-11-10,898.0,609.0,50354.0,0.0023070251409623536,-0.05505684322891238,12.0,3.0,1901.0,blue,0.03925127389397129,0.05787790469094616
2020-11-11,0.0,552.0,50354.0,-0.0035540657576987613,-0.055992123691464696,0.0,3.0,1901.0,blue,0.035577509342318805,0.0
